Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.119	0.838725	0.827201	0.810852	0.789791	0.778353	0.756234	0.723608	0.729006	0.788372	0.761974	0.716488	0.735756	0.740407	0.0126454	0.0144236	0.0266406	0.0604326	0.0947426	0.177024	0.633597	0.630252	0.729006	0.670092	0.596381	0.567694	0.530079	0.512965	0.504589	0.473476	0.450151	0.441748	0.412011	0.387206	0.349959	0.268272	0.378972	0.334723	0.291629	0.244803	0.0977371	0.44163	0.35209	0.310103	0.285906	0.27195	0.252444	0.236741	0.216913	0.209594	0.202544	0.195158	0.194278	0.17579	0.15859	0.159996	0.146041	0.11499
0.122	0.840566	0.828078	0.818402	0.80247	0.784684	0.758468	0.726679	0.745966	0.794512	0.764831	0.713518	0.756253	0.755338	0.0129556	0.0149139	0.026469	0.0601577	0.0957481	0.176847	0.645805	0.633505	0.744604	0.679983	0.61706	0.577691	0.537037	0.528383	0.508304	0.484759	0.474833	0.449417	0.411704	0.398132	0.370986	0.274827	0.381733	0.342878	0.300767	0.250945	0.110411	0.445507	0.352908	0.325581	0.296317	0.282324	0.275824	0.251935	0.23238	0.220874	0.201863	0.19757	0.189874	0.176427	0.176317	0.169753	0.151484	0.117494
0.125	0.844173	0.838197	0.829218	0.811022	0.790037	0.765469	0.743148	0.749852	0.79827	0.770283	0.711192	0.76889	0.764237	0.0129901	0.0154246	0.0270373	0.0598543	0.0926592	0.175518	0.658421	0.62665	0.753679	0.695023	0.621869	0.583692	0.56042	0.531382	0.523171	0.496933	0.478199	0.461612	0.425731	0.395122	0.374203	0.278342	0.407739	0.355211	0.314719	0.25571	0.107677	0.462347	0.366295	0.332125	0.304859	0.291307	0.277743	0.264806	0.243338	0.219063	0.213563	0.212282	0.192893	0.182218	0.17219	0.168697	0.162647	0.119464
0.128	0.854903	0.842482	0.830048	0.813224	0.796267	0.773372	0.746546	0.756517	0.805917	0.779152	0.709545	0.780865	0.772027	0.0137545	0.0158364	0.027362	0.0599375	0.0928834	0.172829	0.661621	0.62444	0.762088	0.697005	0.632625	0.593127	0.575342	0.548559	0.537853	0.512816	0.486227	0.470525	0.451255	0.419873	0.387239	0.297131	0.407543	0.370865	0.318082	0.263348	0.127274	0.461226	0.370649	0.346295	0.314975	0.305526	0.283219	0.26428	0.253165	0.239923	0.220425	0.218279	0.202755	0.19012	0.178346	0.174455	0.164225	0.127021
0.131	0.858108	0.848002	0.836349	0.819711	0.803128	0.775802	0.746774	0.7747	0.807304	0.783927	0.718397	0.794136	0.775283	0.0138083	0.0159144	0.027798	0.0603337	0.0911132	0.171911	0.668594	0.62755	0.767951	0.703272	0.641025	0.599151	0.576956	0.561496	0.542955	0.518988	0.500736	0.473162	0.452552	0.426296	0.404708	0.302079	0.427634	0.374096	0.333354	0.272681	0.133874	0.471641	0.380687	0.349786	0.325307	0.304442	0.294688	0.271007	0.252007	0.241702	0.242747	0.227672	0.211387	0.199039	0.193159	0.178746	0.172936	0.13131
0.134	0.859311	0.848523	0.838946	0.827351	0.806287	0.781182	0.75653	0.780933	0.812458	0.786388	0.739041	0.802511	0.785329	0.0142613	0.0161736	0.028078	0.0587077	0.0892842	0.16931	0.676772	0.62643	0.774859	0.711993	0.655784	0.6119	0.587299	0.578351	0.551891	0.537854	0.508859	0.491628	0.459921	0.434915	0.40028	0.304409	0.432265	0.381384	0.351622	0.293223	0.14257	0.479323	0.386957	0.357665	0.33289	0.317507	0.312062	0.283257	0.269985	0.24735	0.240605	0.227177	0.219991	0.202154	0.188237	0.190251	0.181023	0.134701
0.137	0.862282	0.852536	0.841992	0.832315	0.811473	0.784202	0.763915	0.793366	0.821405	0.787756	0.750629	0.806358	0.0147036	0.0142841	0.0164791	0.0282699	0.0585192	0.0887159	0.166336	0.673928	0.61968	0.785324	0.723749	0.659417	0.624062	0.599907	0.573558	0.568895	0.543022	0.530494	0.50633	0.476422	0.456215	0.413858	0.317003	0.449231	0.395735	0.354021	0.292358	0.156661	0.486178	0.406643	0.366547	0.345011	0.332899	0.320619	0.287764	0.270886	0.254465	0.236215	0.236042	0.216141	0.209529	0.199436	0.194885	0.185034	0.139855
0.14	0.865865	0.857861	0.845948	0.83191	0.81655	0.793918	0.76722	0.795694	0.820139	0.784692	0.762245	0.821705	0.0152157	0.0148482	0.0166074	0.0283992	0.0586401	0.0887746	0.165254	0.688145	0.628862	0.790863	0.730696	0.668996	0.625804	0.611391	0.59156	0.570149	0.563128	0.536887	0.509385	0.479394	0.455912	0.424881	0.320983	0.454268	0.414276	0.360256	0.296687	0.167902	0.507632	0.409169	0.37869	0.345672	0.337552	0.318175	0.301153	0.279399	0.261636	0.261491	0.234943	0.221663	0.222012	0.208445	0.196401	0.183772	0.144547
0.143	0.87293	0.862372	0.852623	0.844919	0.823977	0.801823	0.77721	0.802123	0.825631	0.785603	0.778433	0.0169285	0.0154235	0.0152805	0.0173224	0.0292165	0.0580684	0.0877312	0.162481	0.694587	0.630869	0.79634	0.739124	0.677236	0.644389	0.621087	0.594312	0.581601	0.569842	0.550691	0.525453	0.495105	0.466556	0.431238	0.333905	0.461793	0.412974	0.370977	0.308277	0.178499	0.513936	0.422222	0.396966	0.364817	0.345457	0.327373	0.307424	0.295522	0.278888	0.252597	0.249708	0.22922	0.221314	0.209351	0.19886	0.19019	0.143776
0.146	0.878367	0.867318	0.857401	0.844136	0.826302	0.804787	0.782781	0.813253	0.825137	0.785454	0.792273	0.0168634	0.01578	0.0151935	0.0172501	0.0296076	0.0575413	0.0858474	0.159799	0.687016	0.630635	0.802898	0.741343	0.6881	0.64758	0.632543	0.603555	0.602719	0.571501	0.558002	0.533992	0.4996	0.481371	0.443618	0.33734	0.477452	0.42457	0.385713	0.317577	0.192079	0.528981	0.431191	0.396725	0.360614	0.352936	0.334644	0.31241	0.294663	0.280501	0.271361	0.259434	0.247566	0.224352	0.218428	0.204354	0.196748	0.157757
0.149	0.878183	0.868469	0.860315	0.849377	0.829868	0.806102	0.78699	0.821007	0.828686	0.789183	0.80598	0.0170674	0.0161854	0.0155986	0.0177226	0.029573	0.0578195	0.0842225	0.153498	0.698036	0.639257	0.805571	0.753967	0.690067	0.663351	0.636513	0.615182	0.604328	0.582077	0.561422	0.543635	0.508619	0.498867	0.455614	0.34331	0.478915	0.436238	0.39187	0.323394	0.201166	0.536479	0.447139	0.414145	0.377165	0.367985	0.341934	0.323227	0.297144	0.293276	0.277215	0.264625	0.250545	0.236942	0.214827	0.221032	0.200816	0.168958
